장르,순번,보조장르,원문,변주(초안),채택,수정안,파일명
H,05,C,그 소리는요. 놀라는 소리 같지 않던데.,"그 소리는요, 놀라는 소리 같진 않던데. 제 귀가 좀 웃기게 생겨서요.",,,H_C_05.m4a
H,05,R,그 소리는요. 놀라는 소리 같지 않던데.,그 소리는요. 놀라는 소리 같지는 않던데.,,,H_R_05.m4a
H,06,C,"카페 문 열리는 거 보셨죠. 그 안에 있던 사람들, 손 흔드는 거요?","카페 문 열리는 거 보셨죠? 그 안에 사람들 손 흔들던 거, 인사인지 뭔지.",,,H_C_06.m4a
H,06,R,"카페 문 열리는 거 보셨죠. 그 안에 있던 사람들, 손 흔드는 거요?",카페 문 열리는 거 보셨죠. 그 안에 있던 사람들이 손 흔드는 거요?,,,H_R_06.m4a
H,07,C,저는 잡으려는 거처럼 보였는데.,"저는 뭘 잡으려는 거처럼 보이던데, 뭐 제 눈이 좀 삐딱해서요.",,,H_C_07.m4a
H,07,R,저는 잡으려는 거처럼 보였는데.,저는 잡으려는 거처럼 보였는데.,,,H_R_07.m4a
H,08,C,…그럴 줄 알았어요.,"…그럴 줄 알았죠, 뭐.",,,H_C_08.m4a
H,08,R,…그럴 줄 알았어요.,…그럴 줄 알았어요.,,,H_R_08.m4a
H,09,C,저도 방금 왔어요. 저기 커브 돌 때쯤요.,"저도 방금 왔어요. 저기 커브 돌 때쯔음, 뭐 그쯔음이요.",,,H_C_09.m4a
H,09,R,저도 방금 왔어요. 저기 커브 돌 때쯤요.,저도 방금 왔어요. 저기 커브 도는 쯤에요.,,,H_R_09.m4a
H,10,C,여기 얼마나 앉아 계셨어요?,"여기 얼마나 앉아 계셨어요… 뭐, 안 물어봐도 되고요.",,,H_C_10.m4a
H,10,R,여기 얼마나 앉아 계셨어요?,여기 얼마나 앉아 계셨나요?,,,H_R_10.m4a
H,11,C,…제가 오기 전부터요?,"…제가 오기 전부터, 그랬던 거예요? 뭐, 아니어도 상관없고요.",,,H_C_11.m4a
H,11,R,…제가 오기 전부터요?,…제가 오기 전부터요?,,,H_R_11.m4a
H,12,C,"그 고양이, 왼쪽에서 한 번 더 울었죠. 그건 못 보셨을 거예요.","그 고양이, 왼쪽에서 한 번 더 울었죠. 그건 못 보셨을 거예요, 아마.",,,H_C_12.m4a
H,12,R,"그 고양이, 왼쪽에서 한 번 더 울었죠. 그건 못 보셨을 거예요.",그 고양이가 왼쪽에서 한 번 더 울었죠. 그건 못 보셨을 거예요.,,,H_R_12.m4a
H,13,C,그쪽엔 아무것도 없어요. 지금은.,"그쪽엔 아무것도 없어요, 지금은요. 뭐, 나중엔 또 몰라도.",,,H_C_13.m4a
H,13,R,그쪽엔 아무것도 없어요. 지금은.,그쪽엔 아무것도 없어요. 지금은.,,,H_R_13.m4a
H,14,C,먼저 가세요.,"먼저 가세요. 저는 뭐, 천천히 갈게요.",,,H_C_14.m4a
H,14,R,먼저 가세요.,먼저 가세요.,,,H_R_14.m4a
R,01,C,"안녕하십니까, 저는… 저, 저는—","안녕하십니까, 저는… 저, 저는— 아, 이것도 못 외웠네.",,,R_C_01.m4a
R,01,H,"안녕하십니까, 저는… 저, 저는—","안녕하십니까, 저는… 저, 저는— …왜 이러죠",,,R_H_01.m4a
R,02,C,"아, 죄송해요! 시끄러웠죠. 저 오늘 면접이 있어서요. 태어나서 처음 보는 면접이라...","아, 죄송해요! 시끄러웠죠, 혼자 리허설 좀 하고 있었어요. 저 오늘 면접이 있어서요. 태어나서 처음 보는 면접이라...",,,R_C_02.m4a
R,02,H,"아, 죄송해요! 시끄러웠죠. 저 오늘 면접이 있어서요. 태어나서 처음 보는 면접이라...","아, 죄송해요… 시끄러웠죠. 저 오늘 면접이 있어서요. 태어나서 처음 보는 면접이라... 좀, 이상하게 떨리네요",,,R_H_02.m4a
R,03,C,안녕하십니까! 저는 사람 만나는 일이 세상에서 제일 좋—,안녕하십니까! 저는 사람 만나는 일이 세상에서 제일 좋— 이것도 좀 오버였죠.,,,R_C_03.m4a
R,03,H,안녕하십니까! 저는 사람 만나는 일이 세상에서 제일 좋—,"안녕하십니까! 저는 사람 만나는 일이 세상에서 제일— …좋은 건가, 저",,,R_H_03.m4a
R,04,C,"아, 왜 맨날 여기서!","아, 왜 맨날 여기서 이러지, 저도 참.",,,R_C_04.m4a
R,04,H,"아, 왜 맨날 여기서!","아, 왜 자꾸 맨날 여기서… 저만 이러나요",,,R_H_04.m4a
R,05,C,"혹시 어느 회사 다니세요? 사원증 있으세요, 목에 거는 거?","혹시 어느 회사 다니세요? 사원증 있으세요, 목에 거는 그거, 그거 되게 멋있잖아요.",,,R_C_05.m4a
R,05,H,"혹시 어느 회사 다니세요? 사원증 있으세요, 목에 거는 거?","혹시 어느 회사 다니세요? 사원증… 있으세요, 목에 거는 거",,,R_H_05.m4a
R,06,C,"어머, 진짜요? 완전 대단하다...","어머, 진짜요? 완전 대단하다... 저는 언제쯤 그렇게 될까요.",,,R_C_06.m4a
R,06,H,"어머, 진짜요? 완전 대단하다...","어머, 진짜요…? 완전 대단하다, 뭔가",,,R_H_06.m4a
R,07,C,...차도남 인가. 멋있다,"...차도남인가, 이런 사람 드라마에서만 있는 줄 알았는데.",,,R_C_07.m4a
R,07,H,...차도남 인가. 멋있다,...차도남인가. 멋있다… 근데 좀 무섭기도,,,R_H_07.m4a
R,08,C,4시면 끝물이잖아요. 저 혹시... 들러리 아닐까요?,"4시면 끝물이잖아요. 저 혹시... 그냥 숫자 채우기 아닐까요, 이런 생각 하면 안 되는데.",,,R_C_08.m4a
R,08,H,4시면 끝물이잖아요. 저 혹시... 들러리 아닐까요?,"4시면 끝물이잖아요. 저 혹시... 들러리 아닐까요, 진짜로",,,R_H_08.m4a
R,09,C,면접관들이 저 보고 딴생각하면 어쩌죠.,"면접관들이 저 보고 딴생각하면 어쩌죠, 저 얼굴에 그런 거 다 티 나는 편이라.",,,R_C_09.m4a
R,09,H,면접관들이 저 보고 딴생각하면 어쩌죠.,"면접관들이 저 보고 딴생각하면… 어쩌죠, 그럼",,,R_H_09.m4a
R,10,C,…아니다.,"…아니다, 방금 그건 그냥 취소할게요.",,,R_C_10.m4a
R,10,H,…아니다.,…아니다. 아무것도 아니에요,,,R_H_10.m4a
R,11,C,몇 번 버스 타세요?,"몇 번 버스 타세요? 그냥 궁금해서요, 다른 뜻은 없고요.",,,R_C_11.m4a
R,11,H,몇 번 버스 타세요?,몇 번 버스 타세요… 그거 원래 여기로 오나요,,,R_H_11.m4a
R,12,C,...사실 진짜 떨려요.,"...사실 진짜 떨려요, 이거 안 티 나죠, 저?",,,R_C_12.m4a
R,12,H,...사실 진짜 떨려요.,"...사실 진짜, 너무 떨려요",,,R_H_12.m4a
R,13,C,저기 카페 보이시죠? 저기 살아요. 부모님이 하시는 건데... 나중에 놀러 오세요.,"저기 카페 보이시죠? 저기 살아요. 부모님이 하시는 건데... 나중에 놀러 오세요, 커피값은 못 깎아드려요.",,,R_C_13.m4a
R,13,H,저기 카페 보이시죠? 저기 살아요. 부모님이 하시는 건데... 나중에 놀러 오세요.,"저기 카페 보이시죠? 저기 살아요. 부모님이 하시는 건데... 나중에, 혹시 놀러 오세요",,,R_H_13.m4a
R,14,C,응원해 주세요! 저 4시예요. 4시에 딱 1분만... 생각해 주세요!,"응원해 주세요! 저 4시예요. 4시에 딱 1분만... 저 생각 좀 해주세요, 부담은 안 드리고요!",,,R_C_14.m4a
R,14,H,응원해 주세요! 저 4시예요. 4시에 딱 1분만... 생각해 주세요!,"응원해 주세요… 저 4시예요. 4시에 딱 1분만... 생각, 해 주세요",,,R_H_14.m4a
