층,배합ID,사건,태도,배합이름,순번,대사,최대길이(초),감정태그,파일명
배합,R-F,로맨스,판타지,,2,,5,,vo_R-F_2.mp3
배합,R-F,로맨스,판타지,,3,,5,,vo_R-F_3.mp3
배합,R-F,로맨스,판타지,,cb,,4,,vo_R-F_cb.mp3
배합,R-F,로맨스,판타지,,cb_fb,,4,,vo_R-F_cb_fb.mp3
배합,C-H,코미디,공포,,1,,5,,vo_C-H_1.mp3
배합,C-H,코미디,공포,,2,,5,,vo_C-H_2.mp3
배합,C-H,코미디,공포,,3,,5,,vo_C-H_3.mp3
배합,C-H,코미디,공포,,cb,,4,,vo_C-H_cb.mp3
배합,C-H,코미디,공포,,cb_fb,,4,,vo_C-H_cb_fb.mp3
배합,C-R,코미디,로맨스,,1,,5,,vo_C-R_1.mp3
배합,C-R,코미디,로맨스,,2,,5,,vo_C-R_2.mp3
배합,C-R,코미디,로맨스,,3,,5,,vo_C-R_3.mp3
배합,C-R,코미디,로맨스,,cb,,4,,vo_C-R_cb.mp3
배합,C-R,코미디,로맨스,,cb_fb,,4,,vo_C-R_cb_fb.mp3
배합,C-C,코미디,코미디,,1,,5,,vo_C-C_1.mp3
배합,C-C,코미디,코미디,,2,,5,,vo_C-C_2.mp3
배합,C-C,코미디,코미디,,3,,5,,vo_C-C_3.mp3
배합,C-C,코미디,코미디,,cb,,4,,vo_C-C_cb.mp3
배합,C-C,코미디,코미디,,cb_fb,,4,,vo_C-C_cb_fb.mp3
배합,C-F,코미디,판타지,,1,,5,,vo_C-F_1.mp3
배합,C-F,코미디,판타지,,2,,5,,vo_C-F_2.mp3
배합,C-F,코미디,판타지,,3,,5,,vo_C-F_3.mp3
배합,C-F,코미디,판타지,,cb,,4,,vo_C-F_cb.mp3
배합,C-F,코미디,판타지,,cb_fb,,4,,vo_C-F_cb_fb.mp3
배합,F-H,판타지,공포,,1,,5,,vo_F-H_1.mp3
배합,F-H,판타지,공포,,2,,5,,vo_F-H_2.mp3
배합,F-H,판타지,공포,,3,,5,,vo_F-H_3.mp3
배합,F-H,판타지,공포,,cb,,4,,vo_F-H_cb.mp3
배합,F-H,판타지,공포,,cb_fb,,4,,vo_F-H_cb_fb.mp3
배합,F-R,판타지,로맨스,,1,,5,,vo_F-R_1.mp3
배합,F-R,판타지,로맨스,,2,,5,,vo_F-R_2.mp3
배합,F-R,판타지,로맨스,,3,,5,,vo_F-R_3.mp3
배합,F-R,판타지,로맨스,,cb,,4,,vo_F-R_cb.mp3
배합,F-R,판타지,로맨스,,cb_fb,,4,,vo_F-R_cb_fb.mp3
배합,F-C,판타지,코미디,,1,,5,,vo_F-C_1.mp3
배합,F-C,판타지,코미디,,2,,5,,vo_F-C_2.mp3
배합,F-C,판타지,코미디,,3,,5,,vo_F-C_3.mp3
배합,F-C,판타지,코미디,,cb,,4,,vo_F-C_cb.mp3
배합,F-C,판타지,코미디,,cb_fb,,4,,vo_F-C_cb_fb.mp3
배합,F-F,판타지,판타지,,1,,5,,vo_F-F_1.mp3
배합,F-F,판타지,판타지,,2,,5,,vo_F-F_2.mp3
배합,F-F,판타지,판타지,,3,,5,,vo_F-F_3.mp3
배합,F-F,판타지,판타지,,cb,,4,,vo_F-F_cb.mp3
배합,F-F,판타지,판타지,,cb_fb,,4,,vo_F-F_cb_fb.mp3
